confidence,end_time,freesound_id,local_path,species_label,species_name_zh,start_time
0.058444,51.0,578150,D:\C\Desktop\ai\xykw\data\raw\freesound\previews\non_target_soundscape\freesound_578150.mp3,Turdus mandarinus_Chinese Blackbird,乌鸫,48.0
0.057802,21.0,376809,D:\C\Desktop\ai\xykw\data\raw\freesound\previews\people_footsteps\freesound_376809.mp3,Gallinula chloropus_Eurasian Moorhen,黑水鸡,18.0
0.059495,18.0,173447,D:\C\Desktop\ai\xykw\data\raw\freesound\previews\rain_water_park\freesound_173447.mp3,Copsychus saularis_Oriental Magpie-Robin,鹊鸲,15.0
