confidence,end_seconds,local_path,primary_label_weak,recording_id,sha256,species_label,species_name_zh,start_seconds
0.977337,42.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,39.0
0.991561,45.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,42.0
0.927646,48.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,45.0
0.845893,51.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,48.0
0.991028,54.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,51.0
0.971229,57.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,54.0
0.992446,60.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,57.0
0.99631,63.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,60.0
0.994482,66.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,63.0
0.961863,69.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,66.0
0.196785,72.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,69.0
0.988687,75.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,72.0
0.980499,78.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,75.0
0.98344,81.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,78.0
0.1169,84.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Copsychus saularis_Oriental Magpie-Robin,鹊鸲,81.0
0.975894,87.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,84.0
0.987843,90.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,87.0
0.991528,93.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,90.0
0.950411,96.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,93.0
0.13124,99.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,96.0
